EID,GPU Duration (µs),Input Vertices Read,Input Primitives,GS Primitives,Rasterizer Invocations,Rasterized Primitives,Samples Passed,VS Invocations,TCS Invocations,TES Invocations,GS Invocations,PS Invocations,CS Invocations
1051,0.00,24480,8160,0,8160,3242,6005555,11166,0,0,0,0,0
1052,0.00,67248,22416,0,22416,8780,9082,23430,0,0,0,0,0
1053,0.00,417744,139248,0,139248,31842,21658,145920,0,0,0,0,0
1054,0.00,324,108,0,108,67,0,216,0,0,0,0,0
1055,0.00,1152,384,0,384,464,0,720,0,0,0,0,0
1056,0.00,98208,32736,0,32736,6909,0,27000,0,0,0,0,0
1057,0.00,500328,166776,0,166776,37054,157236,136602,0,0,0,0,0
1058,0.00,99072,33024,0,33024,9815,0,23208,0,0,0,0,0
1059,0.00,99072,33024,0,33024,8075,3038,23208,0,0,0,0,0
1060,0.00,99072,33024,0,33024,7052,43650,23208,0,0,0,0,0
1061,0.00,99072,33024,0,33024,6658,12707,23208,0,0,0,0,0
1062,0.00,99072,33024,0,33024,5976,0,23208,0,0,0,0,0
1063,0.00,99072,33024,0,33024,6610,0,23208,0,0,0,0,0
1064,0.00,99072,33024,0,33024,7475,0,23208,0,0,0,0,0
1065,0.00,99072,33024,0,33024,9267,3324,23208,0,0,0,0,0
1066,0.00,198720,66240,0,66240,13082,35862,56406,0,0,0,0,0
1067,0.00,87552,29184,0,29184,7118,176012,20730,0,0,0,0,0
1068,0.00,82944,27648,0,27648,8589,0,19668,0,0,0,0,0
1069,0.00,87552,29184,0,29184,9586,1144465,20730,0,0,0,0,0
1070,0.00,87552,29184,0,29184,12008,2050366,20730,0,0,0,0,0
1071,0.00,82944,27648,0,27648,6231,0,19668,0,0,0,0,0
1072,0.00,87552,29184,0,29184,5651,0,20730,0,0,0,0,0
1073,0.00,82944,27648,0,27648,7941,177113,19668,0,0,0,0,0
1074,0.00,87552,29184,0,29184,6696,28245,20730,0,0,0,0,0
1075,0.00,82944,27648,0,27648,5817,7576,19668,0,0,0,0,0
1076,0.00,87552,29184,0,29184,5906,1397,20730,0,0,0,0,0
1077,1.73140E+12,144,48,0,48,24,0,96,0,0,0,0,0
1078,6.08,89226,29742,0,29742,3065,0,21660,0,0,0,0,0
1079,2.96,144,48,0,48,32,0,96,0,0,0,0,0
1080,6.48,89226,29742,0,29742,5329,0,21618,0,0,0,0,0
1081,2.88,144,48,0,48,48,0,96,0,0,0,0,0
1082,6.40,89226,29742,0,29742,5641,0,21660,0,0,0,0,0
1083,2.76,144,48,0,48,25,0,96,0,0,0,0,0
1084,6.24,89226,29742,0,29742,3312,0,21618,0,0,0,0,0
1085,4.52,8424,2808,0,2808,1583,0,3198,0,0,0,0,0
1086,5.12,39798,13266,0,13266,4345,0,9462,0,0,0,0,0
1087,4.28,8424,2808,0,2808,814,26219,3198,0,0,0,0,0
1088,4.44,39798,13266,0,13266,2749,33131,9462,0,0,0,0,0
1089,3.32,8424,2808,0,2808,695,0,3198,0,0,0,0,0
1090,4.20,39798,13266,0,13266,2414,0,9462,0,0,0,0,0
1091,3.32,7200,2400,0,2400,467,0,2700,0,0,0,0,0
1092,4.16,39798,13266,0,13266,2296,0,9462,0,0,0,0,0
1093,3.40,7200,2400,0,2400,398,0,2700,0,0,0,0,0
1094,4.04,39798,13266,0,13266,1816,0,9462,0,0,0,0,0
1095,3.40,7200,2400,0,2400,392,0,2700,0,0,0,0,0
1096,4.12,39798,13266,0,13266,1856,0,9462,0,0,0,0,0
1097,3.32,7200,2400,0,2400,454,0,2700,0,0,0,0,0
1098,4.20,39798,13266,0,13266,2234,0,9462,0,0,0,0,0
1099,40.12,165312,55104,0,55104,14238,13533825,39744,0,0,0,0,0
1100,4.08,27378,9126,0,9126,1747,0,6510,0,0,0,0,0
1101,3.72,24516,8172,0,8172,1686,0,5796,0,0,0,0,0
1102,7.12,27378,9126,0,9126,3118,517856,6510,0,0,0,0,0
1103,7.64,24516,8172,0,8172,3126,623136,5796,0,0,0,0,0
1104,1.84466E+17,504,168,0,168,468,0,300,0,0,0,0,0
1105,0.00,260712,86904,0,86904,40644,0,73980,0,0,0,0,0
1106,0.00,180,60,0,60,212,0,120,0,0,0,0,0
1121,0.00,65520,21840,0,21840,4662,63255,20226,0,0,0,0,0
1122,0.00,8424,2808,0,2808,816,39697,3198,0,0,0,0,0
1123,0.00,39798,13266,0,13266,2791,11519,9462,0,0,0,0,0
1124,0.00,24516,8172,0,8172,2267,328990,5796,0,0,0,0,0
1125,0.00,1944,648,0,648,583,13273181,780,0,0,0,0,0
1126,0.00,5040,1680,0,1680,1280,13452819,3408,0,0,0,0,0
1127,0.00,41976,13992,0,13992,8390,6941365,12678,0,0,0,0,0
1128,0.00,26208,8736,0,8736,4215,1088060,10500,0,0,0,0,0
1129,0.00,52128,17376,0,17376,9439,3156362,19662,0,0,0,0,0
1130,0.00,288,96,0,96,132,9384423,96,0,0,0,0,0
1131,0.00,41976,13992,0,13992,7957,15054110,12678,0,0,0,0,0
1132,0.00,19728,6576,0,6576,2809,789686,7200,0,0,0,0,0
1133,0.00,66240,22080,0,22080,9054,10015584,38808,0,0,0,0,0
1134,0.00,3672,1224,0,1224,910,14543462,1308,0,0,0,0,0
1135,0.00,3672,1224,0,1224,959,3578361,1284,0,0,0,0,0
1136,0.00,2664,888,0,888,769,13397948,852,0,0,0,0,0
1137,0.00,2880,960,0,960,195,4350,792,0,0,0,0,0
1138,0.00,2016,672,0,672,110,0,744,0,0,0,0,0
1139,1.73140E+12,2880,960,0,960,273,11218,792,0,0,0,0,0
1140,3.04,2016,672,0,672,199,0,744,0,0,0,0,0
1141,3.68,2880,960,0,960,313,23757,792,0,0,0,0,0
1142,3.20,2016,672,0,672,209,0,744,0,0,0,0,0
1143,3.76,2880,960,0,960,312,20523,792,0,0,0,0,0
1144,3.16,2016,672,0,672,198,0,744,0,0,0,0,0
1145,3.68,2880,960,0,960,316,36515,792,0,0,0,0,0
1146,3.48,2016,672,0,672,182,6771,744,0,0,0,0,0
1147,3.48,2880,960,0,960,245,6547,792,0,0,0,0,0
1148,3.16,2016,672,0,672,183,0,744,0,0,0,0,0
1149,3.84,2880,960,0,960,278,18108,792,0,0,0,0,0
1150,3.00,2016,672,0,672,197,762,744,0,0,0,0,0
1151,4.00,2880,960,0,960,336,40303,792,0,0,0,0,0
1152,3.32,2016,672,0,672,215,5377,744,0,0,0,0,0
1153,3.72,2880,960,0,960,335,36701,792,0,0,0,0,0
1154,3.44,2016,672,0,672,204,6141,744,0,0,0,0,0
1155,11.12,7920,2640,0,2640,1550,2220313,5352,0,0,0,0,0
1156,35.76,576,192,0,192,344,726782,336,0,0,0,0,0
1157,20.24,5040,1680,0,1680,1288,3877030,3408,0,0,0,0,0
1158,1.84466E+17,972,324,0,324,376,13513252,396,0,0,0,0,0
1159,0.00,4356,1452,0,1452,723,0,1908,0,0,0,0,0
1160,0.00,432,144,0,144,65,0,288,0,0,0,0,0
1161,0.00,1476,492,0,492,264,0,588,0,0,0,0,0
1162,2.96,432,144,0,144,57,0,288,0,0,0,0,0
1163,4.92,10008,3336,0,3336,1422,41299,4260,0,0,0,0,0
1164,10.68,900,300,0,300,440,345016,552,0,0,0,0,0
1165,9.88,61344,20448,0,20448,5750,187756,35754,0,0,0,0,0
1166,9.16,900,300,0,300,420,13301,552,0,0,0,0,0
1167,1.84466E+17,90,30,0,30,96,10572494,42,0,0,0,0,0
1168,0.00,24480,8160,0,8160,3301,514724,11166,0,0,0,0,0
1169,0.00,67248,22416,0,22416,11856,13374306,23430,0,0,0,0,0
1170,0.00,417744,139248,0,139248,38636,5312867,145920,0,0,0,0,0
1171,0.00,324,108,0,108,72,0,216,0,0,0,0,0
1172,0.00,1152,384,0,384,704,916349,720,0,0,0,0,0
1173,0.00,98208,32736,0,32736,8692,491938,27000,0,0,0,0,0
